NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-27, 09:59:13
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
-1.464	15.465	208.275
-1.060	10.838	257.652
1.967	10.331	298.910
-2.650	14.894	343.679
-3.276	16.417	384.257
3.295	10.164	416.072
3.340	10.340	452.971
3.238	14.253	487.075
5.748	11.759	521.282
5.692	10.716	553.052
8.111	9.269	575.734
10.334	8.026	604.166
7.453	7.903	628.798
4.121	8.336	641.848
13.470	6.461	653.598
18.675	4.592	664.829
7.536	9.906	675.857
13.028	8.000	680.863
14.927	7.362	682.782
15.660	7.080	679.924
12.103	7.574	676.804
8.918	8.632	669.935
25.776	5.259	655.582
17.957	8.525	642.316
11.883	7.390	626.557
23.909	16.054	605.877
27.559	13.849	578.997
15.290	1.213	552.442
17.157	1.571	521.722
20.166	2.859	488.384
16.801	4.924	457.751
21.484	2.477	422.041
17.608	-1.001	378.471
18.312	-0.736	339.033
20.273	0.497	302.354
21.474	-6.003	255.197
16.266	-3.873	208.245
12.317	-1.209	166.953
16.788	-5.468	117.366
23.390	-4.563	67.990
22.799	-8.249	21.003
11.948	-6.033	-27.785
10.884	-2.475	-73.775
17.658	-4.191	-121.318
16.741	-3.351	-166.731
12.785	-6.103	-212.924
15.048	-8.507	-260.873
19.520	-6.072	-298.740
14.236	-7.684	-339.136
9.098	-10.860	-384.349
13.297	-11.127	-421.657
9.190	-10.797	-455.253
11.603	-9.306	-491.826
10.392	-9.218	-524.974
2.168	-18.635	-554.392
8.256	-24.266	-582.345
5.538	-17.327	-603.960
1.439	-11.874	-624.505
5.209	-11.626	-642.067
6.171	-12.520	-653.508
8.816	-12.612	-667.304
-1.213	-11.278	-676.483
2.880	-11.298	-680.060
1.437	-12.166	-681.604
-7.822	-12.632	-678.033
4.305	-13.892	-676.219
3.063	-9.647	-668.462
-5.530	-7.097	-655.652
-2.257	-10.299	-640.908
-7.726	-10.382	-617.507
-5.510	-8.550	-599.866
0.927	-11.351	-578.256
-7.373	-8.066	-544.256
-13.957	-6.363	-513.695
-10.152	-10.235	-485.624
-4.310	-10.755	-457.512
-9.480	-9.522	-422.060
-11.479	-9.120	-376.583
-15.810	-8.096	-335.222
-16.090	-9.123	-293.520
-16.231	-11.818	-249.793
-15.021	-6.884	-210.887
-14.721	-4.694	-160.073
-17.663	-5.972	-107.956
-16.120	-3.078	-66.410
-16.515	-2.514	-20.432
-19.276	-7.267	32.304
-17.118	-3.727	77.959
-17.326	1.271	122.426
-17.668	-2.919	167.324
-16.586	-3.588	212.677
-19.756	-2.205	256.472
-18.732	-2.409	299.664
-19.732	3.285	349.591
-21.105	2.143	390.073
-17.721	1.411	421.812
-17.171	4.610	458.355
-20.340	0.458	494.053
-17.951	1.392	524.816
-17.115	2.013	554.163
-19.274	3.836	576.946
-22.088	4.263	604.123
-27.239	3.552	628.591
-20.030	10.253	643.820
-11.482	4.732	655.983
-12.131	0.292	664.406
-12.469	8.708	674.526
-21.314	11.366	682.256
-13.751	8.825	681.339
-9.733	11.344	681.630
-19.541	10.649	675.145
-12.928	5.969	663.937
-7.191	8.061	652.860
-15.282	14.075	637.363
-12.892	14.731	619.599
-7.373	17.734	598.860
-11.201	22.468	577.325
-3.055	10.230	546.514
-0.432	5.788	514.872
-9.910	11.797	485.645
-10.943	13.200	455.377
-2.422	10.147	416.468
-9.672	10.426	374.672
-9.977	10.382	333.976
-4.859	9.068	289.662
-5.041	9.711	247.091
-6.251	9.332	202.968
-5.029	9.564	157.782
1.846	9.888	110.637
4.192	10.234	64.070
2.229	7.514	17.784
-0.234	8.287	-32.498
-3.618	11.215	-80.202
1.200	9.656	-124.671
2.656	7.845	-170.804
-0.761	9.452	-218.805
11.823	7.802	-265.084
13.498	7.762	-308.705
2.553	9.928	-350.133
3.059	9.537	-388.007
11.785	4.523	-426.227
10.330	0.841	-463.406
-0.193	5.185	-495.705
7.345	5.630	-525.631
16.616	2.266	-553.261
-0.584	-6.178	-580.942
4.178	-12.033	-607.791
16.958	-5.604	-628.652
13.990	2.026	-645.032
11.598	2.228	-657.916
6.051	1.442	-667.176
14.091	-0.434	-676.817
18.336	-1.848	-680.401
11.239	4.175	-676.034
15.109	1.007	-677.914
18.007	-3.270	-673.188
12.692	0.806	-660.323
18.561	0.645	-650.036
21.556	-0.496	-637.672
13.132	-0.090	-618.146
20.575	-2.540	-599.184
24.287	-3.232	-575.339
17.490	-4.405	-542.245
17.156	-5.410	-512.327
20.923	-5.977	-484.116
20.123	-8.127	-446.401
19.051	-7.482	-408.738
18.457	-5.769	-370.996
20.082	-6.744	-330.257
18.885	-8.682	-287.398
18.059	-9.436	-245.403
20.264	-9.162	-203.627
20.240	-9.428	-157.880
21.424	-8.829	-111.218
15.270	-7.937	-56.100
14.909	-9.524	-9.741
16.224	-8.242	36.379
19.003	-8.046	81.928
19.107	-9.865	127.305
12.649	-8.337	182.572
