NO_OF_FRAMES	6000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 17:03:43
DATA_INCLUDED	Position
DATA_TYPES	Origin_origin_X	Origin_origin_Y	Origin_origin_Z

Origin_origin_X	Origin_origin_Y	Origin_origin_Z	
31.842	4.055	665.184
31.889	4.082	665.155
31.916	4.113	665.157
31.960	4.124	665.162
31.998	4.142	665.153
32.031	4.158	665.158
32.041	4.191	665.159
32.032	4.214	665.150
32.023	4.228	665.154
32.016	4.244	665.152
31.997	4.262	665.156
31.995	4.286	665.185
32.006	4.302	665.163
32.019	4.310	665.149
32.029	4.344	665.151
32.032	4.373	665.147
32.040	4.385	665.152
32.029	4.398	665.163
32.010	4.407	665.155
31.977	4.428	665.165
31.921	4.476	665.158
31.879	4.474	665.158
31.856	4.509	665.166
31.835	4.522	665.209
31.823	4.519	665.184
31.825	4.529	665.189
31.804	4.562	665.210
31.789	4.592	665.212
31.773	4.602	665.211
31.712	4.627	665.239
31.664	4.622	665.234
31.612	4.623	665.246
31.554	4.652	665.248
31.512	4.662	665.240
31.485	4.670	665.220
31.464	4.678	665.218
31.434	4.663	665.221
31.414	4.667	665.194
31.360	4.655	665.163
31.332	4.677	665.179
31.269	4.711	665.181
31.214	4.712	665.187
31.155	4.696	665.163
31.104	4.689	665.189
31.046	4.706	665.199
30.991	4.727	665.184
30.947	4.727	665.171
30.919	4.758	665.192
30.871	4.735	665.188
30.835	4.711	665.166
30.798	4.720	665.177
30.761	4.729	665.189
30.710	4.745	665.173
30.664	4.732	665.175
30.609	4.724	665.170
30.569	4.696	665.173
30.522	4.681	665.194
30.456	4.686	665.200
30.396	4.679	665.175
30.340	4.678	665.200
30.282	4.648	665.217
30.230	4.633	665.219
30.184	4.594	665.211
30.143	4.581	665.233
30.102	4.587	665.257
30.077	4.595	665.249
30.072	4.586	665.218
30.064	4.546	665.224
30.073	4.512	665.241
30.083	4.482	665.220
30.074	4.477	665.221
30.076	4.476	665.234
30.067	4.436	665.226
30.061	4.408	665.217
30.073	4.367	665.216
30.073	4.313	665.204
30.078	4.310	665.244
30.092	4.276	665.281
30.113	4.262	665.238
30.154	4.236	665.235
30.167	4.228	665.281
30.190	4.185	665.262
30.218	4.164	665.232
30.235	4.150	665.279
30.249	4.162	665.304
30.283	4.134	665.263
30.328	4.100	665.255
30.366	4.096	665.288
30.429	4.078	665.297
30.489	4.045	665.270
30.542	4.043	665.270
30.601	4.042	665.271
30.660	4.007	665.263
30.713	3.993	665.272
30.746	3.980	665.287
30.764	3.960	665.289
30.796	3.966	665.289
30.812	3.972	665.301
30.847	3.964	665.276
30.896	3.960	665.270
30.929	3.952	665.311
30.971	3.953	665.311
31.038	3.961	665.278
31.076	3.951	665.279
31.120	3.951	665.292
31.151	3.951	665.273
31.192	3.942	665.268
31.227	3.946	665.294
31.254	3.950	665.287
31.294	3.953	665.261
31.319	3.965	665.272
31.371	3.969	665.278
31.425	3.951	665.261
31.464	3.952	665.255
31.514	3.974	665.271
31.566	3.974	665.239
31.625	3.985	665.232
31.676	4.009	665.228
31.727	3.979	665.226
31.784	3.990	665.193
31.819	4.005	665.210
31.869	4.019	665.215
31.887	4.041	665.180
31.904	4.049	665.172
31.924	4.074	665.188
31.926	4.067	665.196
31.940	4.088	665.154
31.954	4.113	665.150
31.984	4.128	665.148
31.994	4.142	665.147
32.002	4.154	665.152
32.035	4.187	665.154
32.059	4.202	665.132
32.067	4.225	665.129
32.064	4.253	665.125
32.064	4.292	665.106
32.055	4.295	665.119
32.024	4.307	665.130
32.021	4.351	665.124
31.976	4.349	665.131
31.972	4.377	665.114
31.953	4.406	665.110
31.940	4.411	665.096
31.942	4.441	665.079
31.932	4.439	665.131
31.906	4.454	665.129
31.876	4.478	665.113
31.804	4.507	665.140
31.766	4.546	665.128
31.730	4.557	665.120
31.681	4.554	665.120
31.638	4.559	665.126
31.615	4.568	665.112
31.580	4.605	665.126
31.555	4.641	665.121
31.524	4.637	665.102
31.484	4.640	665.101
31.451	4.653	665.086
31.398	4.655	665.085
31.351	4.671	665.077
31.303	4.702	665.085
31.266	4.700	665.105
31.218	4.699	665.085
31.163	4.712	665.083
31.122	4.727	665.094
31.062	4.728	665.093
31.015	4.743	665.084
30.955	4.740	665.098
30.907	4.762	665.120
30.869	4.739	665.143
30.810	4.731	665.131
30.759	4.746	665.115
30.678	4.753	665.133
30.626	4.764	665.157
30.575	4.757	665.158
30.520	4.721	665.163
30.471	4.722	665.188
30.421	4.725	665.194
30.373	4.711	665.202
30.330	4.710	665.202
30.289	4.717	665.227
30.251	4.690	665.224
30.217	4.661	665.247
30.188	4.646	665.249
30.171	4.637	665.257
30.130	4.624	665.278
30.100	4.618	665.292
30.061	4.574	665.278
30.036	4.553	665.281
30.003	4.543	665.320
29.992	4.537	665.328
29.982	4.514	665.318
29.988	4.486	665.348
30.023	4.446	665.354
30.052	4.425	665.337
30.065	4.405	665.334
30.087	4.385	665.343
30.111	4.376	665.370
30.110	4.366	665.365
30.120	4.325	665.352
30.136	4.301	665.393
30.147	4.260	665.393
30.176	4.238	665.377
30.195	4.246	665.382
30.228	4.233	665.397
30.261	4.193	665.409
30.311	4.169	665.400
30.349	4.159	665.401
30.392	4.123	665.400
30.424	4.111	665.402
30.461	4.110	665.402
30.485	4.095	665.385
30.515	4.073	665.382
30.542	4.073	665.414
30.572	4.051	665.411
30.637	4.046	665.393
30.684	4.033	665.382
30.742	4.033	665.370
30.809	4.012	665.347
30.839	3.989	665.344
30.881	3.989	665.363
30.918	3.979	665.352
30.957	3.982	665.326
30.975	3.965	665.309
31.005	3.969	665.315
31.050	3.954	665.311
31.091	3.956	665.298
31.138	3.931	665.295
31.166	3.936	665.288
31.206	3.938	665.275
31.271	3.934	665.257
31.324	3.913	665.260
31.364	3.916	665.234
31.417	3.896	665.236
31.475	3.896	665.224
31.526	3.894	665.212
31.574	3.909	665.190
31.627	3.917	665.183
31.671	3.929	665.188
31.728	3.914	665.145
31.779	3.921	665.144
31.828	3.936	665.136
31.881	3.972	665.118
31.917	3.963	665.107
31.953	3.980	665.104
31.978	3.990	665.110
31.995	4.021	665.086
32.008	4.029	665.072
32.002	4.056	665.062
32.027	4.077	665.059
32.061	4.083	665.052
32.056	4.098	665.063
32.060	4.110	665.061
32.055	4.138	665.044
32.068	4.172	665.039
32.067	4.201	665.029
32.057	4.216	665.020
32.059	4.243	665.036
32.059	4.243	665.036
32.040	4.272	665.032
32.035	4.307	665.021
32.017	4.335	665.029
31.999	4.383	665.016
31.955	4.391	665.015
31.920	4.402	665.019
31.891	4.424	665.036
31.850	4.450	665.038
31.833	4.470	665.036
31.793	4.495	665.051
31.761	4.507	665.049
31.731	4.512	665.055
31.699	4.524	665.053
31.654	4.550	665.049
31.615	4.567	665.054
31.574	4.602	665.068
31.527	4.607	665.067
31.488	4.606	665.074
31.441	4.619	665.084
31.405	4.631	665.076
31.357	4.655	665.079
31.316	4.682	665.081
31.273	4.707	665.091
31.224	4.699	665.105
31.185	4.707	665.123
31.130	4.711	665.109
31.076	4.729	665.126
31.004	4.749	665.142
30.942	4.766	665.146
30.887	4.756	665.160
30.836	4.749	665.161
30.782	4.739	665.188
30.736	4.762	665.203
30.679	4.782	665.194
30.640	4.779	665.220
30.588	4.781	665.232
30.546	4.751	665.243
30.484	4.740	665.257
30.452	4.750	665.275
30.408	4.764	665.292
30.363	4.761	665.298
30.327	4.742	665.320
30.295	4.726	665.329
30.267	4.710	665.344
30.206	4.698	665.358
30.163	4.697	665.358
30.139	4.691	665.391
30.111	4.686	665.398
30.080	4.654	665.389
30.070	4.632	665.380
30.053	4.621	665.407
30.049	4.609	665.408
30.043	4.588	665.405
30.046	4.561	665.409
30.056	4.546	665.418
30.062	4.513	665.409
30.092	4.491	665.406
30.103	4.458	665.417
30.116	4.445	665.419
30.135	4.435	665.426
30.142	4.411	665.417
30.169	4.377	665.416
30.184	4.358	665.405
30.190	4.340	665.427
30.221	4.329	665.416
30.251	4.307	665.413
30.252	4.278	665.423
30.303	4.265	665.419
30.317	4.236	665.404
30.349	4.213	665.413
30.371	4.205	665.415
30.407	4.196	665.403
30.441	4.157	665.396
30.473	4.136	665.386
30.525	4.123	665.382
30.557	4.102	665.372
30.588	4.091	665.361
30.635	4.078	665.350
30.675	4.052	665.334
30.718	4.038	665.317
30.760	4.003	665.303
30.809	3.999	665.297
30.872	3.985	665.274
30.904	3.973	665.275
30.945	3.975	665.262
30.987	3.961	665.232
31.050	3.947	665.209
31.075	3.922	665.219
31.123	3.908	665.208
31.168	3.893	665.204
31.217	3.907	665.195
31.262	3.882	665.199
31.312	3.883	665.154
31.355	3.866	665.157
31.415	3.877	665.149
31.458	3.863	665.132
31.517	3.856	665.113
31.568	3.872	665.099
31.613	3.857	665.094
31.681	3.862	665.094
31.733	3.887	665.084
31.788	3.880	665.059
31.836	3.895	665.051
31.889	3.920	665.041
31.928	3.921	665.035
31.959	3.926	665.034
31.984	3.947	665.032
31.992	3.960	665.037
32.007	3.978	665.027
32.003	4.006	665.011
32.011	4.018	665.015
32.002	4.032	665.020
32.023	4.053	665.011
32.024	4.069	665.021
32.034	4.103	665.023
32.030	4.120	665.014
32.038	4.143	665.011
32.037	4.169	665.020
32.034	4.185	665.025
32.029	4.211	665.027
31.998	4.233	665.030
31.987	4.275	665.031
31.959	4.287	665.036
31.934	4.321	665.050
31.921	4.323	665.056
31.886	4.345	665.053
31.860	4.368	665.063
31.834	4.402	665.064
31.796	4.429	665.073
31.770	4.451	665.083
31.743	4.474	665.093
31.699	4.461	665.108
31.668	4.483	665.111
31.625	4.508	665.120
31.586	4.536	665.116
31.537	4.564	665.144
31.509	4.586	665.160
31.468	4.586	665.154
31.440	4.608	665.170
31.388	4.620	665.174
31.352	4.630	665.186
31.307	4.656	665.182
31.265	4.671	665.193
31.224	4.658	665.214
31.194	4.680	665.217
31.152	4.690	665.209
31.112	4.690	665.202
31.070	4.725	665.216
31.021	4.728	665.222
30.992	4.750	665.238
30.939	4.742	665.246
30.892	4.746	665.245
30.832	4.773	665.254
30.779	4.787	665.245
30.727	4.789	665.258
30.685	4.777	665.266
30.632	4.776	665.298
30.596	4.752	665.275
30.537	4.760	665.299
30.506	4.787	665.328
30.461	4.784	665.334
30.433	4.765	665.311
30.392	4.763	665.324
30.366	4.757	665.344
30.334	4.741	665.353
30.298	4.752	665.344
30.270	4.745	665.371
30.251	4.737	665.366
30.230	4.728	665.367
30.212	4.694	665.352
30.200	4.688	665.347
30.177	4.677	665.354
30.163	4.669	665.368
30.152	4.636	665.354
30.160	4.631	665.361
30.144	4.596	665.359
30.149	4.581	665.348
30.150	4.555	665.339
30.168	4.526	665.330
30.164	4.512	665.352
30.181	4.493	665.354
30.189	4.451	665.347
30.215	4.428	665.338
30.228	4.414	665.340
30.246	4.406	665.334
30.284	4.381	665.306
30.301	4.353	665.297
30.330	4.329	665.300
30.345	4.288	665.306
30.375	4.283	665.301
30.406	4.272	665.290
30.430	4.228	665.283
30.456	4.214	665.285
30.500	4.191	665.256
30.544	4.166	665.247
30.570	4.141	665.257
30.617	4.116	665.254
30.667	4.087	665.239
30.702	4.078	665.215
30.739	4.051	665.206
30.785	4.036	665.201
30.813	4.004	665.193
30.865	3.984	665.183
30.904	3.974	665.185
30.946	3.976	665.185
30.996	3.935	665.178
31.038	3.922	665.147
31.092	3.899	665.145
31.149	3.890	665.146
31.189	3.876	665.122
31.246	3.874	665.129
31.293	3.860	665.118
31.345	3.847	665.114
31.394	3.844	665.108
31.430	3.832	665.116
31.454	3.837	665.103
31.492	3.837	665.096
31.522	3.841	665.102
31.558	3.832	665.091
31.614	3.831	665.085
31.654	3.830	665.092
31.700	3.843	665.090
31.752	3.852	665.070
31.794	3.854	665.070
31.828	3.869	665.074
31.849	3.879	665.073
31.876	3.881	665.085
31.892	3.916	665.087
31.913	3.926	665.086
31.906	3.952	665.076
31.910	3.964	665.074
31.909	3.979	665.091
31.919	3.993	665.090
31.923	4.004	665.088
31.937	4.038	665.096
31.938	4.066	665.099
31.949	4.090	665.089
31.928	4.106	665.112
31.928	4.135	665.102
31.902	4.151	665.106
31.879	4.175	665.122
31.868	4.205	665.131
31.850	4.214	665.136
31.835	4.244	665.138
31.819	4.262	665.149
31.807	4.275	665.159
31.790	4.295	665.157
31.778	4.325	665.165
31.739	4.351	665.181
31.700	4.379	665.177
31.656	4.393	665.194
31.637	4.411	665.198
31.593	4.436	665.207
31.556	4.463	665.217
31.526	4.485	665.220
31.504	4.493	665.219
31.477	4.514	665.248
31.457	4.532	665.252
31.424	4.528	665.239
31.391	4.549	665.249
31.367	4.584	665.244
31.337	4.606	665.247
31.309	4.630	665.244
31.264	4.627	665.250
31.236	4.640	665.255
31.198	4.661	665.245
31.179	4.681	665.229
31.136	4.709	665.219
31.116	4.738	665.215
31.085	4.722	665.223
31.047	4.723	665.210
31.010	4.743	665.214
30.971	4.771	665.210
30.928	4.796	665.219
30.891	4.800	665.186
30.846	4.797	665.193
30.806	4.806	665.197
30.765	4.806	665.191
30.720	4.821	665.195
30.688	4.833	665.193
30.651	4.842	665.205
30.606	4.832	665.187
30.580	4.830	665.193
30.558	4.802	665.178
30.534	4.809	665.183
30.513	4.817	665.182
30.468	4.814	665.188
30.447	4.794	665.198
30.424	4.763	665.202
30.406	4.755	665.196
30.385	4.748	665.178
30.364	4.728	665.187
30.341	4.734	665.193
30.322	4.715	665.195
30.316	4.685	665.206
30.304	4.653	665.191
30.304	4.642	665.199
30.305	4.624	665.201
30.312	4.611	665.184
30.312	4.582	665.194
30.319	4.567	665.196
30.343	4.520	665.210
30.344	4.494	665.200
30.343	4.466	665.198
30.350	4.451	665.200
30.361	4.418	665.211
30.372	4.377	665.210
30.399	4.356	665.181
30.425	4.320	665.199
30.454	4.313	665.213
30.498	4.288	665.204
30.519	4.269	665.213
30.559	4.244	665.198
30.579	4.208	665.196
30.616	4.181	665.187
30.629	4.139	665.199
30.650	4.120	665.209
30.684	4.124	665.221
30.711	4.075	665.202
30.760	4.072	665.196
30.788	4.037	665.208
30.830	4.011	665.205
30.871	3.995	665.194
30.920	3.981	665.197
30.954	3.959	665.200
30.985	3.937	665.197
31.026	3.913	665.175
31.060	3.889	665.197
31.092	3.887	665.191
31.133	3.879	665.186
31.167	3.885	665.179
31.214	3.861	665.176
31.252	3.859	665.190
31.279	3.825	665.188
31.332	3.834	665.180
31.366	3.823	665.176
31.396	3.838	665.173
31.434	3.828	665.175
31.475	3.830	665.162
31.494	3.809	665.178
31.535	3.800	665.173
31.555	3.819	665.183
31.585	3.836	665.162
31.612	3.838	665.174
31.621	3.824	665.170
31.657	3.841	665.168
31.663	3.852	665.179
31.692	3.873	665.183
31.698	3.869	665.177
31.710	3.903	665.172
31.732	3.895	665.173
31.747	3.928	665.194
31.780	3.936	665.174
31.777	3.941	665.187
31.776	3.978	665.188
31.784	4.001	665.185
31.783	4.019	665.182
31.780	4.044	665.198
31.772	4.060	665.183
31.773	4.070	665.188
31.758	4.089	665.198
31.761	4.118	665.194
31.739	4.153	665.202
31.743	4.164	665.201
31.736	4.191	665.190
31.728	4.196	665.183
31.712	4.226	665.185
31.695	4.246	665.183
31.681	4.275	665.198
31.644	4.313	665.199
31.624	4.322	665.191
31.611	4.342	665.195
31.591	4.361	665.199
31.576	4.391	665.201
31.556	4.420	665.196
31.541	4.441	665.187
31.515	4.437	665.188
31.506	4.469	665.190
31.477	4.491	665.206
31.454	4.522	665.176
31.424	4.544	665.179
31.411	4.575	665.174
31.372	4.596	665.165
31.343	4.592	665.159
31.329	4.621	665.174
31.295	4.634	665.159
31.266	4.670	665.135
31.238	4.693	665.131
31.212	4.712	665.116
31.187	4.708	665.116
31.148	4.727	665.126
31.116	4.742	665.105
31.075	4.768	665.107
31.032	4.793	665.116
30.998	4.806	665.102
30.965	4.802	665.089
30.927	4.812	665.087
30.880	4.816	665.087
30.850	4.810	665.100
30.813	4.839	665.090
30.788	4.847	665.082
30.742	4.842	665.108
30.711	4.837	665.109
30.684	4.834	665.096
30.647	4.835	665.096
30.621	4.840	665.108
30.594	4.846	665.107
30.566	4.822	665.111
30.554	4.807	665.119
30.526	4.802	665.126
30.512	4.777	665.129
30.498	4.772	665.111
30.480	4.761	665.138
30.474	4.739	665.135
30.466	4.716	665.138
30.450	4.690	665.148
30.435	4.654	665.159
30.420	4.646	665.160
30.416	4.632	665.181
30.416	4.604	665.192
30.415	4.556	665.186
30.404	4.541	665.207
30.402	4.517	665.230
30.400	4.490	665.227
30.411	4.486	665.228
30.411	4.455	665.257
30.433	4.427	665.255
30.451	4.390	665.260
