NO_OF_FRAMES	12000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2020-09-26, 14:41:23
DATA_INCLUDED	Velocity
DATA_TYPES	Mass_vel_X	Mass_vel_Y	Mass_vel_Z

Mass_vel_X	Mass_vel_Y	Mass_vel_Z	
126.454	-0.273	193.225
114.943	7.998	260.460
91.506	16.423	330.315
64.385	21.445	394.767
40.586	21.418	451.514
18.231	19.406	506.181
-0.124	18.768	561.385
-9.844	5.121	616.147
-15.425	-9.351	662.457
-11.174	-12.644	702.175
1.034	-11.857	741.758
17.544	-5.459	780.186
39.827	-2.085	811.468
54.831	0.414	835.986
70.694	3.466	858.996
86.315	9.780	882.274
92.518	21.993	903.183
97.575	32.194	917.697
93.246	37.877	929.245
83.608	41.572	937.889
72.027	50.541	945.270
63.904	59.630	946.544
51.522	50.814	937.489
31.295	43.704	924.129
14.791	49.151	908.104
-0.447	44.719	887.083
-19.562	26.880	859.352
-35.925	22.632	826.835
-41.205	30.692	788.107
-44.371	27.035	747.433
-48.661	25.609	705.909
-54.044	27.200	659.798
-49.780	26.105	613.085
-41.204	18.583	558.220
-33.916	12.200	491.845
-25.196	9.488	429.907
-18.219	4.262	361.829
-12.757	0.832	283.767
-12.464	-1.552	210.777
-8.055	3.110	137.154
-2.328	6.503	62.132
-0.418	9.688	-9.370
0.217	13.181	-83.010
2.366	19.165	-159.627
5.849	30.611	-230.294
7.105	30.938	-293.830
7.527	27.704	-359.762
7.203	32.760	-425.826
8.162	37.346	-488.118
7.362	43.131	-538.683
3.352	53.052	-581.669
0.873	65.745	-625.839
-5.544	75.582	-665.553
-24.614	78.736	-702.442
-49.944	65.840	-741.737
-72.723	61.282	-774.058
-83.750	65.786	-801.936
-83.925	53.445	-836.399
-89.304	38.367	-868.067
-94.724	20.852	-895.892
-93.590	1.397	-920.789
-92.968	-13.289	-937.750
-82.272	-25.903	-948.256
-75.327	-39.523	-954.873
-64.468	-37.507	-956.430
-47.090	-37.967	-951.056
-33.278	-68.826	-945.809
-19.053	-74.700	-929.679
-9.047	-51.109	-903.776
1.929	-34.099	-875.227
-1.290	-20.644	-835.675
-10.792	-8.856	-792.594
-16.613	8.953	-750.412
-28.105	19.714	-701.494
-36.042	26.157	-646.342
-44.862	35.284	-591.941
-51.965	37.621	-535.555
-56.922	39.147	-481.007
-68.960	30.636	-429.214
-72.776	6.483	-379.236
-71.099	-17.803	-332.845
-62.908	-42.046	-284.810
-56.015	-64.256	-230.164
-45.712	-75.114	-174.341
-32.672	-86.038	-117.916
-27.236	-102.971	-52.154
-22.265	-105.339	16.969
